ticker,date,time,headline,neg,neu,pos,compound
TSLA,2021-03-15,10:16AM,Musk Adds Technoking of Tesla Title; CFO Is Coin Master,0.0,1.0,0.0,0.0
TSLA,2021-03-15,10:15AM,Holley CEO talks going public via SPAC amid pandemic,0.0,1.0,0.0,0.0
TSLA,2021-03-15,10:12AM,"Dow Reverses From All-Time High As Bitcoin Falls From New High; Apple, Tesla Rally",0.0,1.0,0.0,0.0
TSLA,2021-03-15,10:23AM,US STOCKS-S&P 500 subdued as focus turns to Fed,0.0,1.0,0.0,0.0
TSLA,2021-03-18,10:07PM,"Exclusive: Targeting Tesla, China's Geely to launch new premium EV brand - sources",0.0,0.88,0.12,0.128
TSLA,2021-03-18,08:00PM,Taiwanese Apple and Tesla contractor cuts China headcount by almost half,0.18,0.82,0.0,-0.296
TSLA,2021-03-18,07:37PM,Tesla Is Down. GM and Ford Are Up. How Interest Rates Play With Stocks.,0.0,0.69,0.31,0.6597
TSLA,2021-03-18,05:40PM,"Why Kevin O'Leary Changed His Mind On Tesla, Keeps Allocation Capped At 5%",0.0,1.0,0.0,0.0
TSLA,2021-03-18,04:56PM,"UPDATE 2-U.S. safety agency reviewing 23 Tesla crashes, three from recent weeks",0.0,0.797,0.203,0.4215
TSLA,2021-03-18,03:06PM,Expert Ratings for Tesla,0.0,1.0,0.0,0.0
TSLA,2021-03-18,02:11PM,Why Tesla Stock Fell Sharply on Thursday,0.0,1.0,0.0,0.0
TSLA,2021-03-18,12:43PM,March Madness on Wall Street: stocks to watch,0.293,0.707,0.0,-0.4404
TSLA,2021-03-18,12:43PM,"Dow Rallies To Record Highs, Tech Stocks Sell Off As Treasury Yields Spike; Apple, Tesla Tumble",0.0,0.893,0.107,0.2023
TSLA,2021-03-18,11:09AM,Another Nikola Investor To Slash Stake While Rivian Expands Road Test,0.168,0.72,0.112,-0.1779
TSLA,2021-03-18,10:07AM,"UPDATE 1-Renault sees its electric, hybrid car sales doubling in 2021 - sources",0.0,1.0,0.0,0.0
TSLA,2021-03-18,03:03PM,This EV Stock Has Gained 70% in a Month. Its Not Tesla.,0.0,0.794,0.206,0.3818
TSLA,2021-03-18,11:20AM,VWs Furious Rally Fueled by Surge in U.S. Trading Volume,0.291,0.709,0.0,-0.5719
TSLA,2021-03-18,09:18AM,Electric truck startup Lordstown slumps 12% on SEC probe,0.0,1.0,0.0,0.0
TSLA,2021-03-18,09:26AM,"Mogo, Cars.com, Ford, Volkswagen  and Tesla highlighted as Zacks Bull and Bear of the Day",0.0,1.0,0.0,0.0
TSLA,2021-03-19,03:00PM,The Oil Price Rally Is Officially Over,0.0,1.0,0.0,0.0
TSLA,2021-03-19,04:37PM,"Stock Market Stumbles As Treasury Yields Spike Amid Dovish Fed; VW Powers Up Vs. Tesla, Airline Bookings Swell",0.0,0.904,0.096,0.2023
TSLA,2021-03-19,04:11PM,China Sees Tesla As An Espionage Threat  Here's Why,0.298,0.702,0.0,-0.5267
TSLA,2021-03-19,02:45AM,Tesla Looks To Give Customers The Giga Shanghai Experience,0.0,1.0,0.0,0.0
TSLA,2021-03-19,02:56PM,"Chinese Military Restrictions Show Tesla Caught In Middle Of US, China Relations: Wedbush",0.0,1.0,0.0,0.0
TSLA,2021-03-19,02:00PM,"If Electric Vehicles Take Over, These Energy Stocks Will Be Big Winners",0.0,0.658,0.342,0.6369
TSLA,2021-03-19,01:57PM,"Zero-Emissions Vehicles Are Bringing Disruption to the $1.5 Trillion Trucking Market. Watch These Stocks, Says UBS",0.143,0.857,0.0,-0.3612
TSLA,2021-03-19,01:12PM,Getting technical: Don't buy Tesla 'on sale',0.0,1.0,0.0,0.0
TSLA,2021-03-19,12:53PM,Copart Is a Totally Different Kind of Car Stock,0.0,1.0,0.0,0.0
TSLA,2021-03-19,12:44PM,"Stock market news live updates: Stocks mixed, Nasdaq recovers losses after tech selloff but posts weekly loss",0.242,0.758,0.0,-0.5859
TSLA,2021-03-19,12:19PM,China restricting Tesla use uncovers a significant challenge for Elon Musk: expert,0.19,0.584,0.226,-0.128
TSLA,2021-03-19,12:16PM,Tesla bulls see glass half empty scenario as China reportedly restricts some vehicle use,0.255,0.745,0.0,-0.4767
TSLA,2021-03-19,12:04PM,Tesla Stock Is Falling Again. Theres Too Much Going On.,0.151,0.849,0.0,-0.1531
TSLA,2021-03-19,11:16AM,"China Restricts Military, State Personnel Use Of Teslas Over National Security Concerns: Report",0.146,0.701,0.153,0.0258
TSLA,2021-03-19,10:53AM,Analyzing Tesla's Unusual Options Activity,0.0,1.0,0.0,0.0
TSLA,2021-03-19,09:48AM,Gigapress Intended For Tesla's Cybertruck Spotted In Video,0.0,1.0,0.0,0.0
TSLA,2021-03-19,09:28AM,Volkswagen is trouncing Tesla in the stock market this year,0.0,1.0,0.0,0.0
TSLA,2021-03-19,08:21AM,UPDATE 3-Chinese military bans Tesla cars in its complexes on camera concerns - sources,0.0,1.0,0.0,0.0
TSLA,2021-03-19,08:14AM,"Dow Jones Futures Rise As Treasury Yields Retreat After Nasdaq Breaks Support, Tesla, Apple Hit Resistance",0.0,0.674,0.326,0.6486
TSLA,2021-03-19,08:00AM,You're Out $438 Billion If You Didn't Sell These 10 Fallen Stocks,0.185,0.815,0.0,-0.3612
TSLA,2021-03-19,07:59AM,Chinese military bans Tesla cars in its complexes on camera concerns - sources,0.0,1.0,0.0,0.0
