,id,created_at,text,public_metrics
55,1370524644906737666,2021-03-12T23:58:33.000Z,"RT @ohvtwin: @May_Roma これがTeslaの設計能力です。

https://t.co/WXjOoa1HKY

メルセデスとかVW/AUDIが本気のEVを出して来たら、Teslaはだんだん追い込まれて行く可能性が高いと見ています。","{'retweet_count': 32, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
56,1370524639936544772,2021-03-12T23:58:31.000Z,@elonmusk Give me a Tesla I will buy doge 😂,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
57,1370524632802017294,2021-03-12T23:58:30.000Z,"RT @elonmusk: Availability varies by region due to regulatory approval delays and/or Tesla internal development &amp; testing. 

Note: word “Be…","{'retweet_count': 1264, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
58,1370524631874949121,2021-03-12T23:58:30.000Z,"@ichigotalks @Tesla beneran bang heran saya juga

ada ni sarapan dari Twitter 😆😆 https://t.co/PRyjKqTUxt","{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}"
59,1370524628116926466,2021-03-12T23:58:29.000Z,"@antonio07802754 @menysvb @JesusRCuevas Deja de decir imbecilidades, tesla sólo es uno de todas las marcas que ya están cambiando a autos eléctricos.","{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}"
60,1370524617971019780,2021-03-12T23:58:26.000Z,"RT @TeslaClubSoFla: Attention South Florida:

We're hosting our first Drive Electric Earth Day event on April 18th, 2021. We have secured t…","{'retweet_count': 5, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
61,1370524615878049793,2021-03-12T23:58:26.000Z,"RT @unchained_ninja: 😱 I'm sorry @elonmusk, I had to $PAINT it! I always thought you're the $DOGE guy, but seems you're more ""into"" #cats…","{'retweet_count': 43, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
62,1370524612627476491,2021-03-12T23:58:25.000Z,Yes. I would like a Tesla. Thank you https://t.co/3zKf5LTDaQ,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}"
63,1370524600954589185,2021-03-12T23:58:22.000Z,@ijustine @Tesla @elonmusk Just drop the coin 🪙 treat yourself,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
64,1370524580566106112,2021-03-12T23:58:17.000Z,"RT @TeslaratiTeam: Tesla eyeing its targets and laser-focused on the master plan - always an exciting one🎯
https://t.co/8EL0sCLQAc","{'retweet_count': 24, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
65,1370524564388675586,2021-03-12T23:58:13.000Z,"Waduh Nasdaq Melorot! Saham Tesla, Facebook dkk Jeblok https://t.co/IsyikAmsjj","{'retweet_count': 0, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}"
66,1370524561922400257,2021-03-12T23:58:13.000Z,"Realistic, $TSLA cars are in the wild with beta software. https://t.co/EZf8LwJdLf","{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}"
67,1370524532780449793,2021-03-12T23:58:06.000Z,@BoredElonMusk Tesla or Boring on Mars after SpaceX or just X?,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
68,1370524525729812482,2021-03-12T23:58:04.000Z,RT @DoctorSpac: $CCIV Lucid Air has the head-up display.....$TSLA's don't have it.,"{'retweet_count': 16, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
69,1370524523590733824,2021-03-12T23:58:04.000Z,"@Erdayastronaut April first is gonna get here, you’re going to wonder why it’s not repaired yet, then Tesla is gonna say “APRIL FOOLS” 😂","{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}"
70,1370524494004113409,2021-03-12T23:57:57.000Z,Tesla Said to Be in Talks With Tata Power for Electric Car Charging: Report https://t.co/YvIwHWaAAm,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
71,1370524492158529538,2021-03-12T23:57:56.000Z,@Tesla @cookie_esq @just_tenille,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
72,1370524489008709635,2021-03-12T23:57:55.000Z,Инвестор Tesla подал в суд на Илона Маска https://t.co/Wlp5RcHPbF,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
